,id,season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
525,526,2015,Ahmedabad,8,10,8,0,normal,0,10,0,7,30
526,527,2015,Kolkata,0,7,7,1,normal,0,7,0,7,8
527,528,2015,Pune,5,3,5,0,normal,0,3,0,5,21
528,529,2015,Visakhapatnam,14,10,10,1,normal,0,10,0,6,6
529,530,2015,Mumbai,8,0,8,0,normal,0,0,0,6,40
530,531,2015,Visakhapatnam,3,14,3,0,normal,0,3,4,0,6
531,532,2015,Pune,5,7,7,1,normal,0,7,0,4,21
532,533,2015,Ahmedabad,0,10,0,0,normal,0,10,0,8,30
533,534,2015,Bangalore,8,13,13,1,normal,0,8,18,0,17
534,535,2015,Delhi,3,7,7,1,normal,0,7,0,6,9
535,536,2015,Ahmedabad,10,5,5,1,tie,0,5,0,0,30
536,537,2015,Visakhapatnam,14,7,7,1,normal,1,14,16,0,6
537,538,2015,Bangalore,0,13,13,1,normal,0,0,27,0,17
538,539,2015,Delhi,3,8,8,1,normal,0,3,37,0,9
539,540,2015,Ahmedabad,10,13,13,1,normal,0,13,0,9,30
540,541,2015,Mumbai,8,14,8,0,normal,0,8,20,0,40
541,542,2015,Chennai,0,5,0,0,normal,0,0,97,0,20
542,543,2015,Delhi,3,13,13,1,normal,0,13,0,10,9
543,544,2015,Chandigarh,14,5,5,1,normal,0,14,20,0,27
544,545,2015,Kolkata,7,3,7,0,normal,0,7,13,0,8
545,546,2015,Bangalore,13,10,10,1,no result,0,15,0,0,17
546,547,2015,Chennai,0,7,7,1,normal,0,0,2,0,20
547,548,2015,Delhi,5,3,3,1,normal,0,3,0,9,9
548,549,2015,Mumbai,8,10,10,1,normal,0,8,8,0,40
549,550,2015,Bangalore,7,13,13,1,normal,0,13,0,7,17
550,551,2015,Hyderabad,14,0,0,1,normal,0,14,22,0,28
551,552,2015,Chandigarh,8,5,8,0,normal,0,8,23,0,27
552,553,2015,Mumbai,10,3,3,1,normal,0,10,14,0,2
553,554,2015,Chennai,0,13,0,0,normal,0,0,24,0,20
554,555,2015,Kolkata,7,14,14,1,normal,0,7,35,0,8
555,556,2015,Mumbai,3,8,3,0,normal,0,8,0,5,40
556,557,2015,Bangalore,13,5,5,1,normal,0,13,138,0,17
557,558,2015,Mumbai,14,10,10,1,normal,0,14,7,0,2
558,559,2015,Chennai,0,8,0,0,normal,0,8,0,6,20
559,560,2015,Kolkata,5,7,5,0,normal,0,7,0,1,8
560,561,2015,Raipur,14,3,14,0,normal,0,14,6,0,33
561,562,2015,Mumbai,13,8,13,0,normal,0,13,39,0,40
562,563,2015,Chennai,0,10,0,0,normal,0,0,12,0,20
563,564,2015,Hyderabad,14,5,14,0,normal,0,14,5,0,28
564,565,2015,Raipur,0,3,0,0,normal,0,3,0,6,33
565,566,2015,Chandigarh,5,13,13,1,normal,0,5,22,0,27
566,567,2015,Mumbai,8,7,7,1,normal,0,8,5,0,40
567,568,2015,Hyderabad,14,13,14,0,normal,1,13,0,6,28
568,569,2015,Chandigarh,5,0,5,0,normal,0,0,0,7,27
569,570,2015,Mumbai,10,7,10,0,normal,0,10,9,0,2
570,571,2015,Bangalore,3,13,13,1,no result,0,15,0,0,17
571,572,2015,Hyderabad,14,8,14,0,normal,0,8,0,9,28
572,573,2015,Mumbai,8,0,8,0,normal,0,8,25,0,40
573,574,2015,Pune,13,10,13,0,normal,0,13,71,0,21
574,575,2015,Ranchi,13,0,0,1,normal,0,0,0,3,15
575,576,2015,Kolkata,8,0,0,1,normal,0,8,41,0,8
576,577,2016,Mumbai,8,12,8,0,normal,0,12,0,9,40
577,578,2016,Kolkata,3,7,7,1,normal,0,7,0,9,8
578,579,2016,Chandigarh,5,4,4,1,normal,0,4,0,5,26
579,580,2016,Bangalore,13,14,14,1,normal,0,13,45,0,17
580,581,2016,Kolkata,7,8,8,1,normal,0,8,0,6,8
581,582,2016,Rajkot,12,4,12,0,normal,0,4,0,7,31
582,583,2016,Delhi,5,3,3,1,normal,0,3,0,8,9
583,584,2016,Hyderabad,14,7,14,0,normal,0,7,0,8,28
584,585,2016,Mumbai,8,4,4,1,normal,0,4,0,3,40
585,586,2016,Chandigarh,12,5,12,0,normal,0,5,0,6,26
586,587,2016,Bangalore,13,3,3,1,normal,0,3,0,7,17
587,588,2016,Hyderabad,8,14,14,1,normal,0,14,0,7,28
588,589,2016,Chandigarh,5,7,7,1,normal,0,7,0,6,26
589,590,2016,Mumbai,13,8,8,1,normal,0,8,0,6,40
590,591,2016,Rajkot,4,14,14,1,normal,0,14,0,10,31
591,592,2016,Pune,13,12,12,1,normal,0,13,13,0,21
592,593,2016,Delhi,3,8,8,1,normal,0,3,10,0,9
593,594,2016,Hyderabad,5,14,14,1,normal,0,14,0,5,28
594,595,2016,Rajkot,13,4,13,0,normal,0,4,0,6,31
595,596,2016,Pune,12,7,7,1,normal,0,7,0,2,21
596,597,2016,Chandigarh,8,5,5,1,normal,0,8,25,0,26
597,598,2016,Hyderabad,14,12,12,1,normal,1,12,34,0,28
598,599,2016,Delhi,4,3,3,1,normal,0,4,1,0,9
599,600,2016,Mumbai,7,8,8,1,normal,0,8,0,6,40
600,601,2016,Pune,12,4,4,1,normal,0,4,0,3,21
601,602,2016,Delhi,3,7,7,1,normal,0,3,27,0,9
602,603,2016,Hyderabad,14,13,13,1,normal,0,14,15,0,28
603,604,2016,Rajkot,5,4,4,1,normal,0,5,23,0,31
604,605,2016,Pune,12,8,8,1,normal,0,8,0,8,21
605,606,2016,Bangalore,13,7,7,1,normal,0,7,0,5,17
606,607,2016,Rajkot,4,3,3,1,normal,0,3,0,8,31
607,608,2016,Kolkata,7,5,5,1,normal,0,7,7,0,8
608,609,2016,Delhi,3,12,12,1,normal,0,12,0,7,9
609,610,2016,Hyderabad,4,14,14,1,normal,0,14,0,5,28
610,611,2016,Bangalore,12,13,13,1,normal,0,13,0,7,17
